Word,DensityAtRadius0.550,DensityAtRadius0.525,DensityAtRadius0.500,DensityAtRadius0.475,DensityAtRadius0.450,DensityAtRadius0.425,DensityAtRadius0.400,DensityAtRadius0.375,DensityAtRadius0.350,SpearmanAtRadius0.550,SpearmanAtRadius0.525,SpearmanAtRadius0.500,SpearmanAtRadius0.475,SpearmanAtRadius0.450,SpearmanAtRadius0.425,SpearmanAtRadius0.400,SpearmanAtRadius0.375,SpearmanAtRadius0.350,IsNeologism
plantain,661,924,1300,1852,2602,3652,4934,5000,5000,0.059525714404863705,0.06956414054927376,0.08584643059665191,0.10585381331686798,0.12468585613155692,0.14080917327032663,0.15625030484877872,0.15571550571960194,0.15571550571960194,0
finisher,0,1,2,5,20,66,197,528,1339,NaN,0.7453683160492778,0.41630688088683465,0.3378460377166121,0.1991129279215756,0.3059318318743257,0.3420538241061169,0.3414879730630273,0.3606525028096977,0
auger,26,67,158,332,598,1047,1831,2908,4441,0.29541081646857154,0.24815941293977803,0.25097206642683534,0.23786462613777837,0.210613701376101,0.19693901993623536,0.20292384522703344,0.21154479824729366,0.22859637855032527,0
peacefulness,50,112,201,371,676,1117,1718,2557,3827,-0.2055916609969411,-0.026300141413380378,-0.022423889221671878,-0.017182342608486403,0.0047772376559751676,0.012428215236682843,0.01470904775857884,0.02898961294387855,0.049347324848800736,0
dumpling,134,246,439,776,1381,2360,3781,5000,5000,0.41644476750280923,0.36564230602820025,0.28482869524858995,0.24486024135624637,0.2257627999881677,0.20455388469879365,0.20412768519048513,0.20697307298991763,0.20697307298991763,0
receivable,105,177,314,524,863,1411,2242,3451,5000,0.3011822315950407,0.31549979270678274,0.31490274687167047,0.32475047984381533,0.3206013442155167,0.31919804387873335,0.3241637726275426,0.3226169548839462,0.3176846856258454,0
manikin,1,4,11,39,138,362,891,1956,3589,-0.3288425975793672,-0.25550214244115543,-0.015559009249471605,0.060418008799924525,0.1983394526372496,0.16993346992750052,0.19015945899674752,0.20884032239335684,0.22467252159980322,0
parishioner,2,5,13,29,75,148,327,728,1410,-0.23987999265254667,-0.06885532606333906,-0.060958168471169735,-0.0853181680672096,-0.07994445907990988,0.02229530247168168,0.08613982476912857,0.1154639486816604,0.138239180015979,0
wastefulness,91,186,379,705,1147,1789,2691,3879,5000,-0.033871182926543265,0.03134113957009421,0.05259594600538683,0.08797550128781804,0.09978300877736368,0.13191755997558208,0.15154597095219646,0.17002724689919485,0.18471313531847808,0
suasion,1,3,9,37,137,418,1020,2086,3578,0.19711042311661509,0.012959804381290185,0.12201506363827158,0.2620494328490405,0.23751013734044274,0.28692606028687995,0.2799467848868264,0.2625749020682762,0.2545608172382061,0
phantasy,10,48,170,409,853,1541,2525,3857,5000,0.15918310596503718,0.15122265131732807,0.1827883592300836,0.2239037985002347,0.2221336469196765,0.21023201387115265,0.1971488352794779,0.19384801974588187,0.1901227126975453,0
sky-line,83,177,354,643,1044,1662,2555,3680,5000,0.15356243089474775,0.13044026695096606,0.14320870785067485,0.13252098617508315,0.1442733728610467,0.17377585834855572,0.18384619024776547,0.19138482458154027,0.1966547093999178,0
onehalf,51,103,183,294,529,897,1528,2510,3931,0.2777920757491579,0.2829119348942634,0.34637570581015265,0.3418724954229001,0.34108397826870185,0.3515175371554624,0.3693804015477623,0.3652426062612502,0.36094060124720184,0
charg,11,20,43,98,244,598,1226,2228,3566,0.41460766900157076,0.46926703063960884,0.35991037143256344,0.2710395581755872,0.2304105243038654,0.21254137721754238,0.18037509656733627,0.15899969274260878,0.1518731676806026,0
sedge,372,623,963,1481,2291,3219,4432,5000,5000,-0.00660024791189192,0.006459521465618379,0.022488449838003473,0.05433695889980141,0.08169770950329217,0.10528479008197772,0.123549511986862,0.13125401720574081,0.13125401720574081,0
hypochondriac,11,27,63,142,339,716,1335,2353,3820,0.05409631439872031,0.23076172586952534,0.23657270514845308,0.262367205687606,0.22151169794449024,0.21894741016249944,0.2220068816066198,0.227074068513461,0.22442178490482986,0
note-books,12,18,32,61,113,218,405,781,1572,-0.07850364322117358,-0.043691848515887984,-0.02346065115963991,0.01445220492758212,0.041968929634456864,0.09846086373645294,0.10817577771375755,0.12301231794056326,0.1542079285218257,0
relict,0,1,3,19,43,120,318,704,1382,NaN,-0.8369453044375645,0.1778633117346979,0.5410776032924145,0.5179620737155,0.422409188418954,0.3778488314110115,0.3765757034926997,0.36042106385682743,0
monotheism,313,535,834,1250,1872,2672,3691,5000,5000,0.29222235169973104,0.30024026442696605,0.2666220752967376,0.2558628002792806,0.23901363193395056,0.2209630974567545,0.21990932015446243,0.21122850045164965,0.21122850045164965,0
investiture,16,37,71,135,258,495,909,1561,2595,0.06760835428657558,0.05138733965580838,0.04379611612560275,-0.008717523221395634,-0.010528182406408378,-0.017413002680014375,0.024862059306302742,0.05893069687200806,0.10605973873944806,0
earldom,12,17,37,61,109,206,361,699,1232,-0.4009751184643311,-0.2827974822265939,-0.2399800414791805,-0.1944194787399725,-0.14255878660010265,-0.09048941379286445,-0.06033493841286667,0.002196647083681141,0.03332042368192284,0
obtuseness,284,484,756,1103,1572,2221,3038,4088,5000,0.039815260560560777,0.04168989625672223,0.033238108200638335,0.04906846628557785,0.05421894310501691,0.0819228494103227,0.10332040531866235,0.11168690018151824,0.11846426052370335,0
